id,jurisdiction_code,program_name,administering_body,eligibility_summary,eligibility_assessment_tool,typical_psw_hours_per_week_moderate,typical_psw_hours_per_week_high,typical_wait_days_initial,typical_wait_days_ongoing,user_fee_model,scope_includes,scope_excludes,url,source_id,source_retrieved_date,notes
1,ON,Home and Community Care Support Services (HCCSS),Ontario Health (14 HCCSS regions),"OHIP-insured resident with a care need identified through the single point of access; priority for post-acute, end of life, and complex chronic cases",interRAI HC,14,21,45,14,No user fee for publicly-funded services within HCCSS cap,"Personal support, nursing, OT/PT, palliative, end-of-life, meal prep","Housekeeping beyond minimal, companion care, 24-hour supervision",https://www.ontario.ca/page/homecare-seniors,hccss-ontario,2026-04-09,"Formerly Community Care Access Centres (CCAC, 1996–2016) and LHIN Home and Community Care (2016–2021)"
2,QC,Soutien à domicile — CLSC,CIUSSS/CISSS via CLSC local offices,Universal access for Quebec residents with demonstrated need; priority for OEMC-assessed high-risk seniors,Outil d'évaluation multiclientèle (OEMC),20,60,30,7,No fee for direct CLSC services; user fee possible for services purchased via EESAD social economy enterprises,"Personal care, nursing, rehab, housekeeping via EESAD, meal services",Non-medical companion care beyond respite,https://www.quebec.ca/en/health/health-system-and-services/home-support/home-care-services,quebec-clsc-sad,2026-04-09,Quebec's subsidised hours are among the highest in Canada for high-need clients
3,BC,Home and Community Care (Health Authorities),"Five regional Health Authorities (Fraser, Vancouver Coastal, Interior, Island, Northern)",BC resident with a care need; priority based on assessed acuity,interRAI HC,16,30,21,7,Client contribution based on after-tax income; subsidised above income thresholds,"Personal care, nursing, rehab, adult day programs",Housekeeping and meal preparation (not publicly funded in BC),https://www2.gov.bc.ca/gov/content/health/accessing-health-care/home-community-care,gov-bc-home-community-care,2026-04-09,BC explicitly excludes housekeeping from publicly funded home care — gap that families often fill with private services
4,AB,Continuing Care at Home,Alberta Health Services (AHS) Continuing Care division,Alberta resident assessed as meeting continuing care eligibility,interRAI HC,12,40,30,14,No fee for nursing; accommodation and support services subject to cost-share,"Personal care, nursing, professional services",Housekeeping as standalone service,https://www.albertahealthservices.ca/cc/page15517.aspx,ahs-continuing-care-at-home,2026-04-09,Alberta's 2022 Continuing Care Act consolidated previous home care legislation
5,SK,Saskatchewan Home Care,Saskatchewan Health Authority,Saskatchewan resident with assessed care need,interRAI HC,10,35,21,10,Income-tested fee for personal care and homemaking; nursing free,"Personal care, homemaking, nursing, respite",24-hour live-in care,https://www.saskhealthauthority.ca/our-services/services-directory/home-care,sha-home-care,2026-04-09,Saskatchewan is one of the few provinces with funded homemaking alongside personal care
6,MB,Manitoba Home Care Program,Shared Health Manitoba (Regional Health Authorities),Manitoba resident with a Provincial Health Insurance Card and assessed need,interRAI HC (adopted 2019),12,30,21,7,No fee — universal access for eligible residents,"Personal care, home support, nursing, respite",24-hour care,https://www.gov.mb.ca/health/homecare,gov-mb-home-care,2026-04-09,Manitoba has Canada's longest-standing universal home care program (est. 1974)
7,NS,Nova Scotia Continuing Care Home Care,"Department of Health and Wellness, delivered via Nova Scotia Health",Nova Scotia resident with assessed need through single entry access,interRAI HC,10,40,30,14,Income-tested fee for home support; nursing and professional services free,"Personal care, home support, nursing, rehab, end-of-life","Companion care, 24-hour live-in",https://novascotia.ca/dhw/ccs/home-care.asp,nshealth-home-care,2026-04-09,
8,NB,Extra-Mural Program,Horizon Health Network (delivered provincially),"NB resident requiring acute, rehab, palliative, or chronic care at home",Extra-Mural Program assessment,12,35,21,7,No fee for medically necessary services,"Nursing, rehab, palliative, respiratory therapy, IV therapy",Housekeeping (provided by separate Long-Term Care Services Home Support program),https://www2.gnb.ca/content/gnb/en/departments/health/MedicarePrescriptionDrugPlan/TheExtraMuralProgram.html,gnb-extra-mural-program,2026-04-09,Personal care and home support delivered through a separate Social Development program
9,NL,Newfoundland and Labrador Home Support Program,Newfoundland and Labrador Health Services,NL resident with assessed care need and financial eligibility,interRAI HC,10,45,28,14,Financially assessed; co-payment on a sliding scale,"Personal care, homemaking, respite",24-hour live-in care in most regions,https://www.nlhealthservices.ca/find-care/community-based-care/home-support-program/,nlh-home-care,2026-04-09,
10,PE,Health PEI Home Care,Health PEI,PEI resident with assessed care need,interRAI HC,8,30,21,7,Universal access to nursing; home support income-tested,"Personal care, home support, nursing",Companion-only care,https://www.princeedwardisland.ca/en/information/health-pei/home-care,pei-home-care,2026-04-09,
11,YT,Yukon Home Care Program,Yukon Department of Health and Social Services,Yukon resident with assessed care need,Yukon Home Care assessment,10,20,14,7,No fee for territorial residents,"Personal care, nursing, respite",Limited weekend and evening capacity in rural communities,https://yukon.ca/en/health-and-wellness/care-services/apply-home-care,yukon-home-care,2026-04-09,Provider capacity is the binding constraint outside Whitehorse
12,NT,NWT Home and Community Care,NWT Department of Health and Social Services,NWT resident with assessed care need,interRAI HC,8,25,21,14,No fee for territorial residents,"Personal care, homemaking, nursing (where staffing available)",Service availability is highly dependent on community staffing,https://www.hss.gov.nt.ca/en/services/home-and-community-care,gnwt-home-community-care,2026-04-09,
13,NU,Nunavut Home and Community Care,"Government of Nunavut, Department of Health",Nunavut resident with assessed care need,Territorial home care assessment,6,30,30,21,No fee for territorial residents,"Personal care, homemaking, nursing (where staffed)",Service scope varies dramatically by community,https://www.gov.nu.ca/health/information/home-and-community-care,gn-home-community-care,2026-04-09,Most remote and most capacity-constrained program in Canada
14,CA-FED,Veterans Independence Program (VIP),Veterans Affairs Canada,Eligible veterans and primary caregivers; survivors under specified conditions,VAC needs assessment,0,0,30,0,Reimbursement of documented expenses up to annual ceilings,"Housekeeping, grounds maintenance, personal care, nutrition, professional health and home adaptation",Services not approved in the VAC care plan,https://www.veterans.gc.ca/en/health-support/physical-health-and-wellness/compensation-illness-injury/veterans-independence-program,vac-vip-2026,2026-04-09,Reimbursement model; see home_care_tax_parameters_2026.csv for approximate annual ceilings
15,CA-FED,FNIHB Home and Community Care Program,Indigenous Services Canada — First Nations and Inuit Health Branch,Status First Nations and recognised Inuit community residents,Community care plan,12,42,14,7,No fee for eligible residents,"Personal care, home support, nursing, respite, community care",Off-reserve service delivery,https://www.sac-isc.gc.ca/eng/1100100035250/1533317440443,isc-fnihb-home-community-care,2026-04-09,Scope and staffing capacity vary substantially by community
